"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Alerts","","0","0","4","0","0"
"","Modal Dialogs","","0","0","2","0","0"
"","Draggable elements","","0","0","7","0","0"
"","Slider","","0","0","1","0","0"
"","Select Menu","","0","0","5","0","0"
"","Tabs","","0","1","3","0","0"
"","Sortable elements","","0","0","2","0","0"
"","Auto Complete","","0","0","4","0","0"
"","Date Picker","","0","0","2","0","0"
"","Tool Tips","","2","0","2","0","0"
"","Dynamic Properties","","0","0","3","0","0"
"","Frames","","0","0","1","0","0"
"","Droppable elements","","0","0","4","0","0"
"","Accordion","","0","0","1","0","0"
"","CheckBox","","0","0","1","0","0"
"","WebTable","","1","0","4","0","0"
"","RadioButton","","0","1","2","0","0"
"","Nested Frames","","0","0","1","0","0"
"","Menu","","0","0","1","0","0"
"","Progress Bar","","0","0","3","0","0"
"","Browser Windows","","0","0","2","0","0"
"","Selectable elements","","0","0","4","0","0"
"","Links","","0","0","2","0","0"
"","Resizable elements","","0","0","2","0","0"
"","Upload and Download","","0","0","2","0","0"
"","Practice Form","","0","0","1","0","0"
"","Buttons","","0","1","0","0","0"
"","TextBox","","0","0","1","0","0"
