"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 26 22:01:28 UTC 2024","Thu Sep 26 22:01:35 UTC 2024","6859","tests","Elements","TestElements","","","test_dynamic_properties","Check if the ""Enable"" button will be enabled after 5 seconds"
"passed","Thu Sep 26 22:01:06 UTC 2024","Thu Sep 26 22:01:08 UTC 2024","2349","tests","Elements","TestElements","","","test_edit_person_data_in_the_table","Can edit person data in the table"
"passed","Thu Sep 26 22:02:10 UTC 2024","Thu Sep 26 22:02:13 UTC 2024","3063","tests","Interactions","TestInteractions","","","test_resize_box","Can resize the Resizable box element, max and min sizes are correct"
"passed","Thu Sep 26 22:03:01 UTC 2024","Thu Sep 26 22:03:02 UTC 2024","1164","tests","Widgets","TestWidgets","","","test_fill_single_autocomplete","Can fill the single autocomplete"
"passed","Thu Sep 26 22:02:43 UTC 2024","Thu Sep 26 22:02:54 UTC 2024","11135","tests","Widgets","TestWidgets","","","test_accordion","Accordion sections can be expanded/collapsed"
"passed","Thu Sep 26 22:03:41 UTC 2024","Thu Sep 26 22:03:42 UTC 2024","1245","tests","Widgets","TestWidgets","","","test_tool_tips[text_field-You hovered over the text field]","Check the tool tips text"
"passed","Thu Sep 26 22:01:22 UTC 2024","Thu Sep 26 22:01:25 UTC 2024","2046","tests","Elements","TestElements","","","test_upload_file","Can upload a file"
"passed","Thu Sep 26 22:02:03 UTC 2024","Thu Sep 26 22:02:05 UTC 2024","1148","tests","Interactions","TestInteractions","","","test_select_items[grid]","Can select items in the List/Grid"
"passed","Thu Sep 26 22:02:21 UTC 2024","Thu Sep 26 22:02:24 UTC 2024","2776","tests","Interactions","TestInteractions","","","test_prevent_propagation_drop","Check the different reactions of Drop elements when dragging a Drag element into them"
"passed","Thu Sep 26 22:00:13 UTC 2024","Thu Sep 26 22:00:14 UTC 2024","1022","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_prompt_alert","Can open an alert with prompt"
"passed","Thu Sep 26 22:03:12 UTC 2024","Thu Sep 26 22:03:17 UTC 2024","5111","tests","Widgets","TestWidgets","","","test_change_progress_bar","Progress bar value changes when moving"
"passed","Thu Sep 26 22:03:53 UTC 2024","Thu Sep 26 22:03:54 UTC 2024","1399","tests","Widgets","TestWidgets","","","test_multiselect_menu","Can select colors in ""Multiselect drop down"", all selected colors are displayed"
"passed","Thu Sep 26 22:02:40 UTC 2024","Thu Sep 26 22:02:42 UTC 2024","1477","tests","Interactions","TestInteractions","","","test_cursor_style[bottom-auto]","Check the cursor style and cursor location while dragging"
"passed","Thu Sep 26 22:02:55 UTC 2024","Thu Sep 26 22:02:57 UTC 2024","2669","tests","Widgets","TestWidgets","","","test_fill_multi_autocomplete","Can enter colors into the multi input field, all entered colors are displayed"
"passed","Thu Sep 26 22:01:42 UTC 2024","Thu Sep 26 22:01:49 UTC 2024","6887","tests","Elements","TestElements","","","test_button_visible","Check if the ""Visible"" button appears after 5 seconds"
"passed","Thu Sep 26 22:03:06 UTC 2024","Thu Sep 26 22:03:08 UTC 2024","2015","tests","Widgets","TestWidgets","","","test_date_and_time_picker","Can change date and time in the date and time picker"
"passed","Thu Sep 26 22:01:25 UTC 2024","Thu Sep 26 22:01:28 UTC 2024","3004","tests","Elements","TestElements","","","test_download","Can download a file"
"passed","Thu Sep 26 22:02:07 UTC 2024","Thu Sep 26 22:02:09 UTC 2024","2454","tests","Interactions","TestInteractions","","","test_deselect_items[grid]","Can deselect items in the List/Grid"
"passed","Thu Sep 26 22:03:34 UTC 2024","Thu Sep 26 22:03:35 UTC 2024","1217","tests","Widgets","TestWidgets","","","test_tabs[Use]","Can switch between tabs, the tabs have content text"
"passed","Thu Sep 26 22:01:03 UTC 2024","Thu Sep 26 22:01:06 UTC 2024","2838","tests","Elements","TestElements","","","test_search_person_in_the_table","Can search for a person in the table by keyword"
"passed","Thu Sep 26 22:00:12 UTC 2024","Thu Sep 26 22:00:13 UTC 2024","1207","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_confirm_alert","Can accept or dismiss the alert"
"passed","Thu Sep 26 22:00:03 UTC 2024","Thu Sep 26 22:00:05 UTC 2024","1961","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_see_alert","Can open an alert"
"passed","Thu Sep 26 22:02:16 UTC 2024","Thu Sep 26 22:02:19 UTC 2024","3025","tests","Interactions","TestInteractions","","","test_simple_drop","Can drop the drag element into the drop element"
"passed","Thu Sep 26 22:03:50 UTC 2024","Thu Sep 26 22:03:53 UTC 2024","2254","tests","Widgets","TestWidgets","","","test_select_one_menu","Can select a title in the ""Select One"" menu"
"broken","Thu Sep 26 22:02:32 UTC 2024","Thu Sep 26 22:02:34 UTC 2024","1659","tests","Interactions","TestInteractions","","","test_x_axis_restricted_drag","Can drag the element only along X axis"
"passed","Thu Sep 26 22:00:15 UTC 2024","Thu Sep 26 22:00:17 UTC 2024","2049","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_iframes","Check page with the iframes"
"passed","Thu Sep 26 22:01:11 UTC 2024","Thu Sep 26 22:01:12 UTC 2024","1416","tests","Elements","TestElements","","","test_change_row_count_in_the_table","Can change the number of rows in the table"
"passed","Thu Sep 26 22:03:42 UTC 2024","Thu Sep 26 22:03:43 UTC 2024","1348","tests","Widgets","TestWidgets","","","test_tool_tips[contrary_link-You hovered over the Contrary]","Check the tool tips text"
"passed","Thu Sep 26 22:01:49 UTC 2024","Thu Sep 26 22:01:54 UTC 2024","4389","tests","Forms","TestForms","","","test_practice_form","Can fill out and submit the form and get the correct results in the results table"
"passed","Thu Sep 26 22:01:55 UTC 2024","Thu Sep 26 22:01:58 UTC 2024","3275","tests","Interactions","TestInteractions","","","test_change_items_order[list]","Can change the order of the List/Grid"
"passed","Thu Sep 26 22:01:35 UTC 2024","Thu Sep 26 22:01:42 UTC 2024","6463","tests","Elements","TestElements","","","test_change_button_color","Check if button text changes after 5 seconds"
"passed","Thu Sep 26 22:00:18 UTC 2024","Thu Sep 26 22:00:20 UTC 2024","2039","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_nested_iframes","Check page with the nested iframes"
"passed","Thu Sep 26 22:02:57 UTC 2024","Thu Sep 26 22:02:59 UTC 2024","1826","tests","Widgets","TestWidgets","","","test_delete_color_from_multi","Can delete a color from multi input"
"passed","Thu Sep 26 22:03:19 UTC 2024","Thu Sep 26 22:03:30 UTC 2024","11000","tests","Widgets","TestWidgets","","","test_reset","Can reset the progress bar"
"passed","Thu Sep 26 22:02:38 UTC 2024","Thu Sep 26 22:02:40 UTC 2024","2082","tests","Interactions","TestInteractions","","","test_cursor_style[top_left-crosshair]","Check the cursor style and cursor location while dragging"
"passed","Thu Sep 26 22:03:43 UTC 2024","Thu Sep 26 22:03:44 UTC 2024","1185","tests","Widgets","TestWidgets","","","test_tool_tips[section_link-You hovered over the 1.10.32]","Check the tool tips text"
"passed","Thu Sep 26 22:02:34 UTC 2024","Thu Sep 26 22:02:35 UTC 2024","1684","tests","Interactions","TestInteractions","","","test_y_axis_restricted_drag","Can drag the element only along Y axis"
"passed","Thu Sep 26 22:00:00 UTC 2024","Thu Sep 26 22:00:02 UTC 2024","1218","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_new_browser_window[window]","Can open a new browser tab/window"
"passed","Thu Sep 26 22:03:33 UTC 2024","Thu Sep 26 22:03:34 UTC 2024","1267","tests","Widgets","TestWidgets","","","test_tabs[Origin]","Can switch between tabs, the tabs have content text"
"passed","Thu Sep 26 22:03:03 UTC 2024","Thu Sep 26 22:03:06 UTC 2024","2499","tests","Widgets","TestWidgets","","","test_date_picker","Can change date in the date picker"
"passed","Thu Sep 26 22:03:57 UTC 2024","Thu Sep 26 22:03:59 UTC 2024","2220","tests","Widgets","TestWidgets","","","test_clear_multiselect_field","Can clear the multiselect field"
"passed","Thu Sep 26 22:03:54 UTC 2024","Thu Sep 26 22:03:55 UTC 2024","1170","tests","Widgets","TestWidgets","","","test_old_style_select","Check that expected colors are present in Old Style Select Menu"
"passed","Thu Sep 26 22:02:29 UTC 2024","Thu Sep 26 22:02:32 UTC 2024","2606","tests","Interactions","TestInteractions","","","test_simple_drag","Can drag the element along X and Y axes"
"passed","Thu Sep 26 22:00:59 UTC 2024","Thu Sep 26 22:01:03 UTC 2024","3971","tests","Elements","TestElements","","","test_add_person_to_the_table","Can add a new person to the table"
"passed","Thu Sep 26 21:59:58 UTC 2024","Thu Sep 26 22:00:00 UTC 2024","2462","tests","Alerts Frames Windows","TestAlertsFrameWindows","","","test_new_browser_window[tab]","Can open a new browser tab/window"
"passed","Thu Sep 26 22:02:59 UTC 2024","Thu Sep 26 22:03:01 UTC 2024","1817","tests","Widgets","TestWidgets","","","test_delete_all_colors_from_multi","Can delete all colors from multi input"
"passed","Thu Sep 26 22:01:08 UTC 2024","Thu Sep 26 22:01:11 UTC 2024","2658","tests","Elements","TestElements","","","test_delete_person_in_the_table","Can delete person from the table"
